Iteración,Accuracy Entrenamiento,Accuracy Validación,Loss Entrenamiento,Loss Validación,Accuracy Test
1,0.9529703259468079,0.874451756477356,0.13859780132770538,0.6555383205413818,0.8731899857521057
2,0.967684268951416,0.8541666865348816,0.0991608276963234,0.6570806503295898,0.8714348673820496
3,0.9727723002433777,0.8865131735801697,0.08414175361394882,0.5252882242202759,0.8714348673820496
4,0.9594334363937378,0.8497806787490845,0.11840572208166122,0.7428557872772217,0.8696796894073486
5,0.9680967926979065,0.8865131735801697,0.09788016229867935,0.6061334609985352,0.8797718286514282
