Iteración,Pérdida de prueba,Precisión de prueba
1,0.33279040455818176,0.917621374130249
2,0.30931776762008667,0.9121658205986023
3,0.33145520091056824,0.9028914570808411
4,0.32258376479148865,0.9170758128166199
5,0.34451961517333984,0.9170758128166199
